Dates,Bitcoin Cash,Bitcoin,Dash,Ethereum,iota,Litecoin,Monero,NEM,Neo,Ripple,Stratis,Waves
20-Feb-18,0.152,0.326,0.150,0.059,0.055,0.459,0.297,-0.092,0.155,0.058,0.148,0.434
13-Feb-18,0.264,0.109,0.127,0.066,0.117,0.116,0.106,-0.087,0.049,0.327,0.159,0.107
6-Feb-18,-0.337,-0.233,-0.219,-0.260,-0.270,-0.135,-0.225,-0.248,-0.276,-0.319,-0.427,-0.335
30-Jan-18,-0.093,-0.070,-0.106,0.086,-0.112,-0.070,-0.112,-0.176,0.203,-0.149,-0.039,-0.072
23-Jan-18,-0.085,-0.054,-0.003,-0.064,-0.038,-0.056,-0.036,-0.085,-0.163,0.136,-0.166,-0.023
16-Jan-18,-0.259,-0.213,-0.317,-0.189,-0.266,-0.238,-0.226,-0.331,0.145,-0.438,-0.235,-0.354
9-Jan-18,-0.118,-0.026,-0.087,0.470,-0.115,-0.034,0.078,0.328,0.405,-0.153,0.215,-0.027
2-Jan-18,-0.128,-0.069,-0.004,0.143,0.053,-0.108,0.005,0.174,0.379,1.084,0.078,-0.060
26-Dec-17,0.108,-0.094,0.031,-0.064,-0.292,-0.182,0.011,0.048,-0.075,0.504,0.244,-0.106
19-Dec-17,0.737,0.021,0.273,0.269,0.138,0.108,0.225,0.766,0.752,1.118,0.180,0.069
12-Dec-17,0.075,0.461,0.232,0.406,0.229,2.088,0.143,0.772,0.041,0.518,0.362,1.000
5-Dec-17,-0.029,0.185,0.207,-0.020,1.560,0.066,0.326,0.212,0.019,-0.177,0.153,0.253
28-Nov-17,0.314,0.246,0.268,0.312,0.688,0.371,0.434,0.227,0.108,0.282,0.870,0.143
21-Nov-17,-0.076,0.216,0.156,0.067,0.456,0.117,0.158,0.042,0.156,0.112,-0.042,0.032
14-Nov-17,1.066,-0.071,0.457,0.146,0.593,0.023,0.226,0.079,0.133,-0.003,0.195,0.363
7-Nov-17,0.404,0.105,0.051,-0.037,-0.020,0.100,0.138,-0.035,-0.079,0.049,-0.101,0.139
31-Oct-17,0.343,0.170,-0.048,0.025,-0.138,-0.004,-0.009,-0.122,-0.056,-0.029,-0.160,-0.138
24-Oct-17,-0.121,-0.014,-0.022,-0.059,-0.032,-0.059,-0.032,-0.026,-0.040,-0.110,0.307,-0.041
17-Oct-17,0.156,0.172,0.030,0.057,-0.019,0.173,0.051,0.040,0.071,-0.110,-0.100,-0.049
10-Oct-17,-0.204,0.108,-0.017,0.025,-0.150,-0.031,-0.066,-0.058,-0.128,0.282,-0.108,-0.129
3-Oct-17,-0.085,0.109,-0.126,0.017,0.090,0.016,-0.002,-0.026,0.274,0.092,-0.132,-0.013
26-Sep-17,-0.163,-0.008,0.046,0.016,-0.088,-0.024,-0.047,-0.038,0.323,0.011,-0.095,0.151
19-Sep-17,0.034,-0.050,-0.005,-0.030,-0.045,-0.177,-0.127,-0.046,-0.049,-0.121,-0.123,-0.050
12-Sep-17,-0.058,-0.056,-0.004,-0.069,-0.034,-0.099,-0.058,-0.130,-0.080,-0.027,-0.083,-0.120
